total_total 
135
34
19
136
38
126
44
117
116
54
30
55
100
149
63
92
87
83
10
140
1204
10
98
10
145
101
103
104
105
11
113
12
12
121
13
13
13
135
137
14
143
148
15
150
16
165
168
17
112
124
18
19
147
2
96
89
153
94
2
13
15
125
127
1332
172
202
143
56
2959
206
230
235
24
24
243
25
26
27
28
3
3
75
41
72
3
3
3
30
309
31
321
34
346
35
64
35
36
366
37
37
374
38
27
4
4
4
26
14
115
101
78
59
45
121
44
469
480
49
50
90
36
81
120
5
519
52
28
521
546
551
566
568
57
573
58
6
21
679
7
711
72
759
76
77
79
152
109
106
87
87
889
89
9
9
922
950
